Title,Detail URL,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116949986,Westlands,3,4.5,155 m²,KSh 24 600 000,Apartment / Flat,20-Feb-26,"400 m² Fully Equipped Gym, 1.7-Acre Shopping Mall, Heated Indoor & Outdoor Swimming Pool, Indoor & Outdoor Kids’ Playgrounds, Recreation Club, Yoga Room, Reading Lounge & Co-working Space, Coffee Bar, 24-hour Security & CCTV, Borehole Water with Purifier, Full Backup Generator"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116936669,Westlands,1,1,65 m²,KSh 6 500 000,Apartment / Flat,18-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930412,Kilimani,2,2,110 m²,KSh 11 800 000,Apartment / Flat,16-Feb-26,"Plumeria Residency is located at the intersection of Riara Road and, It is in close proximity to shopping facilities such as The Junction Mall,, The development comprises of affordable and spacious:, Project Features:, Full backup generator, Well-equipped gym, Heated swimming pool, Children's play area, Borehole water High, speed lifts, Circular runway"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930230,Riverside,2,2,114 m²,KSh 13 600 000,Apartment / Flat,16-Feb-26,"1 Bedroom (60–81?) – From KSh 7.2M to 10.92M, 2 Bedroom – Block C (84?) – From KSh 10.08M to 10.92M, 2 Bedroom – Block B (114–117?) – From KSh 13.68M to 15.21M, 2 Bedroom + DSQ – Block A (129?) – From KSh 15.61M to 16.77M, 3 Bedroom – Block A (174?) – From KSh 21.05M to 22.62M, Swimming pool, Fully equipped gym, Backup generator, Borehole & reliable water supply, High-speed lifts, 24/7 security, CCTV & access control, Children’s play area, Balcony with scenic, Modern kitchen & premium finishes, Green landscaped spaces, Residents’ lounge / social areas"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926422,Westlands,3,3,155 m²,KSh 21 714 000,Apartment / Flat,16-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-riverside-116930246,Riverside,1,1,60 m²,KSh 7 200 000,Apartment / Flat,16-Feb-26,"1 Bedroom (60–81?) – From KSh 7.2M to 10.92M, 2 Bedroom – Block C (84?) – From KSh 10.08M to 10.92M, 2 Bedroom – Block B (114–117?) – From KSh 13.68M to 15.21M, 2 Bedroom + DSQ – Block A (129?) – From KSh 15.61M to 16.77M, 3 Bedroom – Block A (174?) – From KSh 21.05M to 22.62M, Swimming pool, Fully equipped gym, Backup generator, Borehole & reliable water supply, High-speed lifts, 24/7 security, CCTV & access control, Children’s play area, Balcony with scenic, Modern kitchen & premium finishes, Green landscaped spaces, Residents’ lounge / social areas"
5 Bedroom Apartment / Flat,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116923402,Kilimani,5,6.5,359 m²,KSh 52 500 000,Apartment / Flat,14-Feb-26,
2 Bedroom House,https://www.property24.co.ke/2-bedroom-house-for-sale-in-westlands-116931281,Westlands,2,3,110 m²,KSh 13 000 000,House,17-Feb-26,"Fully equipped modern gym, Swimming pool for relaxation and recreation, Spacious balconies for fresh air and outdoor living, High-speed elevators for everyday convenience, CCTV surveillance and intercom systems for security, Prices and variety units:, Prime Location, # Sarit Centre – 5 minutes, # Westgate Mall – 6 minutes, # Chiromo Lane Medical Centre – 8 minutes"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116918922,Westlands,1,1,67 m²,KSh 8 100 000,Apartment / Flat,12-Feb-26,"•	Fully Equipped Gym: Stay fit and healthy, •	Backup Generator: Uninterrupted power supply with our reliable backup generator., •	Shower Locker Room: Convenient and secure locker room facilities., •	Yoga Room: Enhance your well-being in our serene yoga room., •	Two Heated Swimming Pools, •	CCTV Surveillance: Experience peace of mind with 24/7 CCTV surveillance., •	Indoor Kid Play Area, •	Borehole Water Supply: Reliable water supply., •	Intercom system, •	Reception area, •	Indoor relaxing room, •	Outdoor relaxing area, •	Rooftop public BBQ area, •	Rooftop view restaurant, •	Electric fence, Seamlessly blends luxury, convenience, and an unbeatable location. Secure your unit today!, Completion Date: Q3 2027,"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116925935,Westlands,1,1,48 m²,KSh 6 200 000,Apartment / Flat,16-Feb-26,"Heated rooftop infinity pool with skyline & forest views, Aerial gym, yoga room & game room, Mini mart, café, rooftop bar, and lounge, Concierge, 24/7 CCTV surveillance & full backup generator, 10 high-speed elevators, Rooftop experiences, including mini golf, cinema, and padel court, Studios – 48 sqm, 1-Bedroom Units, 1-Bedroom + Study – 87 sqm, 2-Bedroom Units, 3-Bedroom + DSQ Units, Penthouses, Available on request"
