Title,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities,size_value,size_unit,size_sqft,Price_per_sqft,Amenities_count,Listing Month,Listing Month Name,Listing Year,distance_to_cbd_km
3 Bedroom Apartment / Flat,westlands,3.0,4.5,155 m²,24600000,Apartment / Flat,2026-02-20,"400 m fully equipped gym, 17acre shopping mall, heated indoor  outdoor swimming pool, indoor  outdoor kids playgrounds, recreation club, yoga room, reading lounge  coworking space, coffee bar, 24hour security  cctv, borehole water with purifier, full backup generator",155.0,m²,1668.4,14744.67,11,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,westlands,1.0,1.0,65 m²,6500000,Apartment / Flat,2026-02-18,none,65.0,m²,699.65,9290.36,1,2,February,2026,5.654414563146205
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,110 m²,11800000,Apartment / Flat,2026-02-16,"plumeria residency is located at the intersection of riara road and, it is in close proximity to shopping facilities such as the junction mall, , the development comprises of affordable and spacious, project features, full backup generator, wellequipped gym, heated swimming pool, childrens play area, borehole water high, speed lifts, circular runway",110.0,m²,1184.03,9965.96,12,2,February,2026,4.936608046681177
2 Bedroom Apartment / Flat,riverside,2.0,2.0,114 m²,13600000,Apartment / Flat,2026-02-16,"1 bedroom 6081  from ksh 72m to 1092m, 2 bedroom  block c 84  from ksh 1008m to 1092m, 2 bedroom  block b 114117  from ksh 1368m to 1521m, 2 bedroom  dsq  block a 129  from ksh 1561m to 1677m, 3 bedroom  block a 174  from ksh 2105m to 2262m, swimming pool, fully equipped gym, backup generator, borehole  reliable water supply, highspeed lifts, 247 security, cctv  access control, childrens play area, balcony with scenic, modern kitchen  premium finishes, green landscaped spaces, residents lounge  social areas",114.0,m²,1227.08,11083.22,17,2,February,2026,5.982157225591536
3 Bedroom Apartment / Flat,westlands,3.0,3.0,155 m²,21714000,Apartment / Flat,2026-02-16,none,155.0,m²,1668.4,13014.86,1,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,riverside,1.0,1.0,60 m²,7200000,Apartment / Flat,2026-02-16,"1 bedroom 6081  from ksh 72m to 1092m, 2 bedroom  block c 84  from ksh 1008m to 1092m, 2 bedroom  block b 114117  from ksh 1368m to 1521m, 2 bedroom  dsq  block a 129  from ksh 1561m to 1677m, 3 bedroom  block a 174  from ksh 2105m to 2262m, swimming pool, fully equipped gym, backup generator, borehole  reliable water supply, highspeed lifts, 247 security, cctv  access control, childrens play area, balcony with scenic, modern kitchen  premium finishes, green landscaped spaces, residents lounge  social areas",60.0,m²,645.83,11148.44,17,2,February,2026,5.982157225591536
2 Bedroom House,westlands,2.0,3.0,110 m²,13000000,House,2026-02-17,"fully equipped modern gym, swimming pool for relaxation and recreation, spacious balconies for fresh air and outdoor living, highspeed elevators for everyday convenience, cctv surveillance and intercom systems for security, prices and variety units, prime location, sarit centre  5 minutes, westgate mall  6 minutes, chiromo lane medical centre  8 minutes",110.0,m²,1184.03,10979.45,10,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,westlands,1.0,1.0,67 m²,8100000,Apartment / Flat,2026-02-12,"fully equipped gym stay fit and healthy, backup generator uninterrupted power supply with our reliable backup generator, shower locker room convenient and secure locker room facilities, yoga room enhance your wellbeing in our serene yoga room, two heated swimming pools, cctv surveillance experience peace of mind with 247 cctv surveillance, indoor kid play area, borehole water supply reliable water supply, intercom system, reception area, indoor relaxing room, outdoor relaxing area, rooftop public bbq area, rooftop view restaurant, electric fence, seamlessly blends luxury, convenience, and an unbeatable location secure your unit today, completion date q3 2027, ",67.0,m²,721.18,11231.59,20,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,westlands,1.0,1.0,48 m²,6200000,Apartment / Flat,2026-02-16,"heated rooftop infinity pool with skyline  forest views, aerial gym, yoga room  game room, mini mart, caf, rooftop bar, and lounge, concierge, 247 cctv surveillance  full backup generator, 10 highspeed elevators, rooftop experiences, including mini golf, cinema, and padel court, studios  48 sqm, 1bedroom units, 1bedroom  study  87 sqm, 2bedroom units, 3bedroom  dsq units, penthouses, available on request",48.0,m²,516.67,11999.92,21,2,February,2026,5.654414563146205
3 Bedroom Apartment / Flat,lavington,3.0,4.0,781 m²,30000000,Apartment / Flat,2026-02-10,"stateoftheart security systems, including 247 surveillance for peace of mind, fully equipped gym for convenient, onsite workouts, swimming pool ideal for relaxation and recreation, childrens play area, providing a safe space for family fun, rooftop lounge deck for leisure and entertaining with panoramic views, prime location advantages, situated in an exclusive and serene lavington neighborhood, close to top schools, shopping centers, hospitals, and recreational facilities, easy access to major roads and transport routes, combining privacy with convenience",781.0,m²,8406.61,3568.62,16,2,February,2026,5.324669724932856
